a2432619.174292
chiangma 26/03/2024 19:16:53 26/03/2024 19:17:42 0045 0018.854056 0090.000000 00.0 00.0
0001001 0020 0000000 0020 05 0000000 0020 0000000 0020
1 0 1 01000 1 0357 3.75 00532.o 0 0 01 000 16 001001 0.500 BT0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 2 1 02000 1 0357 3.75 00532.o 0 0 01 000 16 001001 0.500 S2A0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 1 1 16380 1 0357 3.75 00532.o 0 0 00 000 00 001001 3.1746 BC0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 3 1 02000 1 0357 3.75 00532.o 0 0 00 000 00 001001 3.1746 S2P0 "<PMT1_10.49.234.234_2055:PMT 2> "
1 5 0 01000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .o Analog 0 	532.000 .o Analog StErr 0 	532.000 .o Photon Counting 0 	532.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.0628	0.000890334	0	0	0
5.06496	0.000906241	0	0	0
5.06688	0.000945769	0	0	0
5.06273	0.000886478	0	0	0
5.05589	0.000886236	0	0	0
5.05577	0.000916846	0	0	0
5.0582	0.000939984	0	0	0
5.06109	0.000947215	0	0	0
5.06548	0.000943359	0	0	0
5.0662	0.000910098	0	0	0
5.06574	0.000922872	0	0	0
5.06545	0.000915159	0	0	0
5.06203	0.000920462	0	0	0
5.06305	0.000874185	0	0	0
5.06166	0.000915159	0	0	0
5.06101	0.000944082	0	0	0
5.05965	0.000927692	0	0	0
5.05945	0.000926728	0	0	0
5.064	0.000927451	0	0	0
5.06639	0.000920944	0	0	0
5.06507	0.000934441	0	0	0
5.06435	0.000947456	0	0	0
5.06132	0.000901662	0	0	0
5.06212	0.000942877	0	0	0
5.05993	0.000936369	0	0	0
5.06089	0.000904795	0	0	0
5.0643	0.000907687	0	0	0
5.06096	0.000915882	0	0	0
5.06339	0.000881657	0	0	0
5.06432	0.00091299	0	0	0
5.0644	0.00093179	0	0	0
5.06584	0.000891298	0	0	0
5.06401	0.000915159	0	0	0
5.06188	0.00093179	0	0	0
5.06142	0.000865027	0	0	0
5.06141	0.000915882	0	0	0
5.06141	0.000887442	0	0	0
5.06167	0.000934923	0	0	0
5.06404	0.000925282	0	0	0
5.06314	0.000930825	0	0	0
5.0639	0.00091058	0	0	0
5.06369	0.000915641	0	0	0
5.06357	0.000900457	0	0	0
5.06276	0.000906964	0	0	0
5.06031	0.000893226	0	0	0
5.06032	0.000916364	0	0	0
5.06052	0.000933959	0	0	0
5.06152	0.00092721	0	0	0
5.06148	0.000916605	0	0	0
5.06273	0.000899011	0	0	0
5.06329	0.000880452	0	0	0
5.06329	0.000927933	0	0	0
5.06259	0.000909134	0	0	0
5.06218	0.000899734	0	0	0
5.06225	0.000910339	0	0	0
5.0618	0.000902385	0	0	0
5.06224	0.000926246	0	0	0
5.06179	0.000930102	0	0	0
5.06141	0.00093902	0	0	0
5.06164	0.000904072	0	0	0
5.06323	0.000920703	0	0	0
5.06411	0.000876355	0	0	0
5.06321	0.000912749	0	0	0
5.06279	0.000943841	0	0	0
5.06305	0.000894431	0	0	0
5.06074	0.000893949	0	0	0
5.0619	0.000888647	0	0	0
5.06233	0.000887442	0	0	0
5.06113	0.000938297	0	0	0
5.06159	0.00096264	0	0	0
5.0623	0.00092239	0	0	0
5.06228	0.000932272	0	0	0
5.06249	0.0009436	0	0	0
5.06375	0.000897565	0	0	0
5.06411	0.000881416	0	0	0
5.06315	0.000895154	0	0	0
5.06214	0.00091299	0	0	0
5.06226	0.000939261	0	0	0
5.06404	0.000918292	0	0	0
5.06193	0.000921908	0	0	0
5.06204	0.000893708	0	0	0
5.06254	0.000924559	0	0	0
5.06225	0.000910339	0	0	0
5.06336	0.0009154	0	0	0
5.06302	0.000912267	0	0	0
5.06301	0.000887442	0	0	0
5.06146	0.000900216	0	0	0
5.06211	0.000903831	0	0	0
5.06223	0.000927933	0	0	0
5.06096	0.000902144	0	0	0
5.06231	0.000939743	0	0	0
5.06254	0.000913713	0	0	0
5.061	0.000907446	0	0	0
5.06092	0.000922149	0	0	0
5.0626	0.000888647	0	0	0
5.06273	0.000896118	0	0	0
5.06318	0.000912267	0	0	0
5.06261	0.000904313	0	0	0
5.06196	0.000916123	0	0	0
5.06173	0.000892262	0	0	0
5.06161	0.000896118	0	0	0
5.06158	0.0008966	0	0	0
5.06383	0.000888165	0	0	0
5.0625	0.000885513	0	0	0
5.06226	0.000885031	0	0	0
5.06324	0.000924559	0	0	0
5.06416	0.000930584	0	0	0
5.0639	0.000906723	0	0	0
5.06181	0.000906723	0	0	0
5.06218	0.000942154	0	0	0
5.06269	0.000921426	0	0	0
5.06118	0.00091998	0	0	0
5.06167	0.000925764	0	0	0
5.06295	0.000938779	0	0	0
5.06314	0.000928415	0	0	0
5.06298	0.000902385	0	0	0
5.06173	0.000915882	0	0	0
5.06225	0.000943359	0	0	0
5.06292	0.000901903	0	0	0
5.062	0.000938779	0	0	0
5.063	0.000897806	0	0	0
5.06354	0.00090118	0	0	0
5.0637	0.00090841	0	0	0
5.06205	0.00089419	0	0	0
5.06362	0.000915641	0	0	0
5.06497	0.000908651	0	0	0
5.06282	0.000912508	0	0	0
5.06269	0.000928174	0	0	0
5.06398	0.000927933	0	0	0
5.06183	0.000912026	0	0	0
5.06348	0.000976861	0	0	0
5.06245	0.000919015	0	0	0
5.06207	0.000907446	0	0	0
5.06361	0.00090359	0	0	0
5.06239	0.000899493	0	0	0
5.06256	0.000885513	0	0	0
5.06091	0.000887442	0	0	0
5.06145	0.00091058	0	0	0
5.06285	0.000911785	0	0	0
5.0621	0.000913231	0	0	0
5.06171	0.000906723	0	0	0
5.0619	0.000897323	0	0	0
5.06291	0.000926487	0	0	0
5.06157	0.000918533	0	0	0
5.06372	0.000888888	0	0	0
5.06196	0.000941189	0	0	0
5.062	0.000916123	0	0	0
5.06359	0.00096481	0	0	0
5.06274	0.000928897	0	0	0
5.0626	0.000912267	0	0	0
5.06234	0.000901421	0	0	0
5.06262	0.000911544	0	0	0
5.06128	0.000920221	0	0	0
5.06369	0.000922149	0	0	0
5.06324	0.00091058	0	0	0
5.06202	0.000922872	0	0	0
5.06391	0.000919015	0	0	0
5.06246	0.00091998	0	0	0
5.06217	0.000924077	0	0	0
5.06226	0.000878283	0	0	0
5.06193	0.000902385	0	0	0
5.06363	0.000921185	0	0	0
5.06261	0.000918774	0	0	0
5.06141	0.000918774	0	0	0
5.06186	0.000921908	0	0	0
5.06329	0.000919015	0	0	0
5.06332	0.000921908	0	0	0
5.06151	0.000951794	0	0	0
5.06231	0.000928897	0	0	0
5.06346	0.000939261	0	0	0
5.06394	0.000939261	0	0	0
5.06451	0.0009248	0	0	0
5.06299	0.000925041	0	0	0
5.06285	0.000953723	0	0	0
5.06428	0.000937574	0	0	0
5.06348	0.000881416	0	0	0
5.06462	0.000916123	0	0	0
5.06476	0.000947215	0	0	0
5.06332	0.000903349	0	0	0
5.06252	0.000938297	0	0	0
5.06189	0.000961676	0	0	0
5.06212	0.000896118	0	0	0
5.06279	0.000920221	0	0	0
5.0609	0.000911062	0	0	0
5.06145	0.000914195	0	0	0
5.06211	0.00094842	0	0	0
5.06286	0.000928174	0	0	0
5.06216	0.000919738	0	0	0
5.06234	0.000922631	0	0	0
5.06122	0.000907928	0	0	0
5.06247	0.000938538	0	0	0
5.06282	0.00092962	0	0	0
5.06276	0.0009342	0	0	0
5.06288	0.00091998	0	0	0
5.06275	0.000923113	0	0	0
5.0624	0.00094143	0	0	0
5.0628	0.000918774	0	0	0
5.06402	0.000888888	0	0	0
5.06385	0.000900216	0	0	0
5.06296	0.000937574	0	0	0
5.06329	0.000897082	0	0	0
5.06365	0.000877319	0	0	0
5.06465	0.000856591	0	0	0
5.06467	0.000922631	0	0	0
5.06309	0.000931549	0	0	0
5.06225	0.000911785	0	0	0
5.06189	0.000927451	0	0	0
5.06139	0.000894672	0	0	0
5.06147	0.00090118	0	0	0
5.06322	0.000906964	0	0	0
5.06256	0.000911062	0	0	0
5.06168	0.000913472	0	0	0
5.06162	0.000911062	0	0	0
5.06156	0.000931549	0	0	0
5.06258	0.000911544	0	0	0
5.06148	0.00090841	0	0	0
5.06097	0.00089877	0	0	0
5.06167	0.000915641	0	0	0
5.06055	0.000893949	0	0	0
5.06174	0.00091998	0	0	0
5.06266	0.000899011	0	0	0
5.06355	0.000909857	0	0	0
5.06425	0.000940707	0	0	0
5.06437	0.000913231	0	0	0
5.0634	0.000914677	0	0	0
5.06315	0.000899252	0	0	0
5.06309	0.000918774	0	0	0
5.06382	0.000948661	0	0	0
5.06364	0.000938538	0	0	0
5.06231	0.000926246	0	0	0
5.06218	0.000908169	0	0	0
5.06269	0.000894672	0	0	0
5.06242	0.000907446	0	0	0
5.0612	0.000935405	0	0	0
5.06159	0.000914918	0	0	0
5.06199	0.000903831	0	0	0
5.06239	0.000949625	0	0	0
5.06308	0.000927692	0	0	0
5.06256	0.000949384	0	0	0
5.06292	0.00093661	0	0	0
5.06244	0.000922149	0	0	0
5.06282	0.00089877	0	0	0
5.06221	0.000931308	0	0	0
5.06157	0.00096264	0	0	0
5.06244	0.000937815	0	0	0
5.0635	0.00092721	0	0	0
5.0641	0.000937092	0	0	0
5.06286	0.000905518	0	0	0
5.06376	0.000939261	0	0	0
5.06404	0.000911785	0	0	0
5.06421	0.000917569	0	0	0
5.06321	0.000930584	0	0	0
5.06344	0.000899493	0	0	0
5.06275	0.000928415	0	0	0
5.06354	0.000894431	0	0	0
5.06258	0.000886478	0	0	0
5.06305	0.000918292	0	0	0
5.06191	0.000911062	0	0	0
5.06159	0.000891298	0	0	0
5.06273	0.000943118	0	0	0
5.06234	0.000921908	0	0	0
5.06204	0.000913231	0	0	0
5.06134	0.000903349	0	0	0
5.06303	0.000911303	0	0	0
5.06161	0.000921908	0	0	0
5.06303	0.000876355	0	0	0
5.06244	0.000879247	0	0	0
5.0626	0.000909134	0	0	0
5.0635	0.000942877	0	0	0
5.06405	0.000912267	0	0	0
5.06141	0.000905277	0	0	0
5.0623	0.000947215	0	0	0
5.06329	0.000915641	0	0	0
5.06193	0.000852493	0	0	0
5.06165	0.000900939	0	0	0
5.06337	0.000900698	0	0	0
5.06281	0.000957097	0	0	0
5.06263	0.000912508	0	0	0
5.06264	0.000892262	0	0	0
5.063	0.000914677	0	0	0
5.06218	0.000873944	0	0	0
5.06244	0.000922149	0	0	0
